case_num,publication_num,decision_date,court_provided_header,court_provided_keywords,court_provided_class,legal_area,applicant_names,applicant_class,respondent_names,respondent_class
B 1064-19,NJA 2019 s. 684,2019-07-12,"Ett rattfylleribrott med s.k. mopedbil bör, även när föraren har haft en alkoholkoncentration som överstiger 1,0 promille i blodet eller 0,50 mg/l i utandningsluften, som utgångspunkt anses vara av normalgraden om det inte utöver alkoholkoncentrationen föreligger försvårande omständigheter av betydelse för andras trafiksäkerhet.","Rattfylleri,Moped,Mopedbil",B,8,åklagaren,Oa,L.B.,Pm
B 1200-19,NJA 2019 s. 668,2019-07-11,Fråga om ansvar och påföljd för våldtäkt alternativt oaktsam våldtäkt.,"Oaktsam våldtäkt,Frivilligt deltagande,Likgiltighetsuppsåt,Medveten oaktsamhet,Straffvärde,Våldtäkt",B,8,åklagaren,Oa,S-E.B.,Pm
B 1727-17,NJA 2017 s. 842,2017-11-17,"Tjänstefel. Domare har ansetts skyldig att, när den s.k. 96-timmarsfristen överskridits, initiera att anhållningsbeslut hävs. Något felaktigt frihetsberövande har dock inte ansetts föreligga sedan häktningsförhandling hållits och beslut om häktning meddelats.","Häktning, Frihetsberövande, Tjänstefel",B,"8,18",åklagaren,Oa,M.A.,Pw
B 1384-17,NJA 2018 s. 77,2018-02-28,Fråga om när underlåtenhet att upprätta årsredovisning i aktiebolag i rätt tid ska bedömas som bokföringsbrott av normalgraden respektive som ringa bokföringsbrott (I–III),"Bokföringsbrott, Bokföring, Årsredovisning",B,"8,18",åklagaren,Oa,"T.F.,V.W.","Px,Px"
B 1415-18,NJA 2019 s. 47,2019-02-19,Utvisning på grund av brott. Domstolens prövning av verkställighets­hinder (I–III),"Verställighetshinder, Utvisning på grund av brott",B,"8,16",åklagaren,Oa,"M.A.,H.H.,F.A.","Pm,Pm,Pm"
T 796-18,NJA 2019 s. 382,2019-04-30,Klander av skiljedom. Fråga om ett handläggningsfel sannolikt har inverkat på utgången.,"Klander av skiljedom, Handläggningsfel",T,"3,6",CicloMulsion AG,Cf,NeuroVive Pharmaceutical AB,Cs
T 5437-17,NJA 2019 s. 171,2019-03-20,Klander av skiljedom. Fråga om domstols utgångspunkt för prövningen av skiljenämnds behörighet. Även fråga om ett handläggningsfels betydelse för att en skiljedom ska kunna upphävas.,"Klander av skiljedom, Skiljedom, Skiljeavtal, Skiljenämnds behörighet, Handläggningsfel",T,"3,6",Joint Stock Company Belgorkhimprom (Belgor),Cf,Koca In?aat Sanayi Ihracat Anonim ?irketi (Koca),Cf
B 147-17,NJA 2017 s. 966,2017-11-29,Straffbestämmelsen om övergrepp i rättssak har ansetts omfatta samtliga uppgifter i en utsaga och inte enbart sådana som har betydelse för utredningen.,Övergrepp i rättssak,B,8,åklagaren,Oa,M.A.,Pm
B 1540-18,NJA 2019 s. 3,2019-01-21,Skälig ersättning vid obehörigt utnyttjande av ett filmverk.,"Upphovsrätt: Skälig ersättning, Illegal streaming, Värdeersättning, Licensavgift",B,"14,8","åklagaren, Svensk Filmindustri","Oa,Cs","A.I.,M.D.,S.D.,D.H.","Px,Px,Px,Px"
B 1605-18,NJA 2018 s. 983,2018-12-13,Dos?,"Narkotika, Beredning, Dos, Psykotropt ämne, DMT",B,"8,18",åklagaren,Oa,J.H.,Px
