"","model","ref_class","ref_type","level","authority","constitutional"
"1","total","case","hd","national","extra_legislative","neither"
"2","total","case","rh","national","extra_legislative","non_constitutional"
"3","total","case","cjeu","extra_national","extra_legislative","neither"
"4","total","case","jo","national","extra_legislative","non_constitutional"
"5","total","case","ecthr","extra_national","extra_legislative","constitutional"
"6","total","case","hfd","national","extra_legislative","neither"
"7","total","case","md","national","extra_legislative","non_constitutional"
"8","total","case","möd","national","extra_legislative","non_constitutional"
"9","total","case","ad","national","extra_legislative","non_constitutional"
"10","total","other","literature","neither","extra_legislative","neither"
"11","total","other","common_practise","neither","extra_legislative","non_constitutional"
"12","total","other","international","extra_national","extra_legislative","neither"
"13","total","other","int","extra_national","extra_legislative","neither"
"14","total","other","agency","national","extra_legislative","non_constitutional"
"15","total","other","non_binding","neither","extra_legislative","non_constitutional"
"16","total","prep","prop","national","legislative","non_constitutional"
"17","total","prep","sou","extra_national","legislative","non_constitutional"
"18","total","prep","nja_ii","national","legislative","non_constitutional"
"19","total","prep","ds","national","legislative","non_constitutional"
"20","total","prep","bet","national","legislative","non_constitutional"
"21","total","prep","committee","national","legislative","non_constitutional"
"22","total","prep","rskr","national","legislative","non_constitutional"
"23","total","principle","principle_legality","neither","extra_legislative","constitutional"
"24","total","principle","principle_proportionality","extra_national","extra_legislative","constitutional"
"25","total","principle","principle_state_liability","extra_national","extra_legislative","constitutional"
"26","total","principle","principle_judicial_protection","extra_national","extra_legislative","constitutional"
"27","total","principle","principle_equal_treatment","neither","extra_legislative","constitutional"
"28","total","principle","principle_subsidiarity","extra_national","extra_legislative","constitutional"
"29","total","principle","principle_primacy","extra_national","extra_legislative","constitutional"
"30","total","statute","act","national","legislative","non_constitutional"
"31","total","statute","code","national","legislative","non_constitutional"
"32","total","statute","const","national","legislative","constitutional"
"33","total","statute","echr","extra_national","legislative","constitutional"
"34","total","statute","eu_primary","extra_national","legislative","neither"
"35","total","statute","eu_charter","extra_national","legislative","constitutional"
"36","total","statute","eu_secondary","extra_national","legislative","non_constitutional"
