opinion_id,case_num,start_paragraph_id,stop_paragraph_id,author_appointment_id,author_last_name,ref_appointment_id,ref_last_name,institution_name,institution_class,opinion_class,opinion_size,panel_size,adopt_clerk,intent_deference,interests_positively_affected,interests_negatively_affected
1,B 1064-19,5,20,NA,NA,NA,NA,Skaraborgs tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
2,B 1064-19,21,32,NA,NA,NA,NA,Göta hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
3,B 1064-19,33,41,NA,NA,NA,NA,Göta hovrätt,appelate,minority,NA,NA,NA,NA,NA,NA
4,B 1064-19,42,60,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,401,203
5,B 1064-19,61,91,"347,14,10,3","Toijer,Persson,Edlund,Runesson",3,Runesson,Högsta domstolen,final,majority,4,5,0,14,401,203
6,B 1064-19,92,96,25,Calissendorff,NA,NA,Högsta domstolen,final,minority,1,5,0,12,203,401
53,B 1200-19,18,36,NA,NA,NA,NA,Skellefteå tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
54,B 1200-19,37,43,NA,NA,NA,NA,Skellefteå tingsrätt,first,minority,NA,NA,NA,NA,NA,NA
55,B 1200-19,44,71,NA,NA,NA,NA,Hovrätten för Övre Norrland,appelate,majority,NA,NA,NA,NA,NA,NA
56,B 1200-19,72,158,"347,15,14,5,2","Toijer,Bäcklund,Persson,Asp,Reimer",15,Bäcklund,Högsta domstolen,final,majority,5,5,0,30,401,402
65,B 1727-17,6,37,NA,NA,NA,NA,Hovrätten över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
66,B 1727-17,38,82,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,402,401
67,B 1727-17,83,124,"27,8,6","Lindeblad,Andersson,Heidenborg",NA,NA,Högsta domstolen,final,majority,3,5,0,12,401,402
68,B 1384-17,7,32,NA,NA,NA,NA,Uppsala tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
69,B 1384-17,33,43,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
70,B 1384-17,44,64,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,0,0,0
71,B 1384-17,65,105,"350,27,388,8,6","Lindskog,Lindeblad,Ståhl,Andersson,Heidenborg",8,Andersson,Högsta domstolen,final,majority,5,5,0,0,0,0
72,B 1384-17,106,127,NA,NA,NA,NA,Stockholms tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
73,B 1384-17,128,137,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
74,B 1384-17,138,167,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,0,0,0
75,B 1384-17,168,184,NA,NA,NA,NA,Uppsala tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
76,B 1384-17,185,193,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
77,B 1384-17,194,199,NA,NA,NA,NA,Svea hovrätt,appelate,minority,NA,NA,NA,NA,NA,NA
78,B 1384-17,200,227,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,0,0,0
79,B 1415-18,4,18,NA,NA,NA,NA,Ystads tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
80,B 1415-18,23,38,NA,NA,NA,NA,Hovrätten över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
81,B 1415-18,39,81,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,203,"401,404"
82,B 1415-18,82,145,"347,25,14,7,3","Toijer,Calissendorff,Persson,Johansson,Runesson",7,Johansson,Högsta domstolen,final,majority,5,15,0,14,203,"401,404"
83,B 1415-18,146,162,NA,NA,NA,NA,Kalmar tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
84,B 1415-18,163,176,NA,NA,NA,NA,Göta hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
85,B 1415-18,177,230,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,203,"401,404"
86,B 1415-18,231,247,NA,NA,NA,NA,Göteborgs tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
87,B 1415-18,248,262,NA,NA,NA,NA,Hovrätten för Västra Sverige,appelate,majority,NA,NA,NA,NA,NA,NA
88,B 1415-18,263,314,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,203,"401,404"
89,T 796-18,2,77,NA,NA,NA,NA,Hovrätten över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
90,T 796-18,78,107,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,315,300
91,T 796-18,108,151,"9,27,8,5,4","Eka,Lindeblad,Andersson,Asp,Bonthron",5,Asp,Högsta domstolen,final,majority,5,5,0,12,315,300
92,T 5437-17,2,124,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
93,T 5437-17,125,152,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,0,300,300
94,T 5437-17,153,234,"16,14,10,7,3","Herre,Persson,Edlund,Johansson,Runesson",3,Runesson,Högsta domstolen,final,majority,5,5,0,10,300,300
95,B 147-17,15,35,NA,NA,NA,NA,Värmlands tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
96,B 147-17,36,47,NA,NA,NA,NA,Hovrätten för Västra Sverige,appelate,majority,NA,NA,NA,NA,NA,NA
97,B 147-17,48,64,NA,NA,NA,NA,Hovrätten för Västra Sverige,appelate,minority,NA,NA,NA,NA,NA,NA
98,B 147-17,65,110,"347,12,8,7,6","Toijer,Johansson,Andersson,Johansson,Heidenborg",12,Johansson,Högsta domstolen,final,majority,5,5,0,14,402,401
99,B 1540-18,4,23,NA,NA,NA,NA,Linköpings tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
100,B 1540-18,24,30,NA,NA,NA,NA,Linköpings tingsrätt,first,minority,NA,NA,NA,NA,NA,NA
101,B 1540-18,31,51,NA,NA,NA,NA,Göta hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
102,B 1540-18,52,95,"9,25,15,12,7","Eka,Calissendorff,Bäcklund,Johansson,Johansson",25,Calissendorff,Högsta domstolen,final,majority,5,5,0,20,401,309
103,B 1605-18,4,24,NA,NA,NA,NA,Göteborgs tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
104,B 1605-18,25,40,NA,NA,NA,NA,Hovrätten för Västra Sverige,appelate,majority,NA,NA,NA,NA,NA,NA
105,B 1605-18,41,63,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,0,0
106,B 1605-18,64,104,"347,27,16,14,10","Toijer,Lindeblad,Herre,Persson,Edlund",16,Herre,Högsta domstolen,final,majority,5,5,0,12,0,0
107,B 1622-18,3,22,NA,NA,NA,NA,Solna tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
108,B 1622-18,23,33,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
109,B 1622-18,34,34,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,0,0,401
110,B 1622-18,35,66,"347,25,10,7","Toijer,Calissendorff,Edlund,Johansson",NA,NA,Högsta domstolen,final,majority,4,5,0,14,0,0
111,B 1622-18,67,77,3,Runesson,3,Runesson,Högsta domstolen,final,minority,1,5,0,32,401,203
112,B 1751-18,2,34,NA,NA,NA,NA,Ystads tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
113,B 1751-18,35,48,NA,NA,NA,NA,Hovrätten över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
114,B 1751-18,56,108,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,203,401
115,B 1751-18,109,168,"347,27,10,5,4","Toijer,Lindeblad,Edlund,Asp,Bonthron",5,Asp,Högsta domstolen,final,majority,5,15,0,14,203,401
116,B 1751-18,171,192,NA,NA,NA,NA,Helsingborgs tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
117,B 1751-18,193,200,NA,NA,NA,NA,Hovrätten över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
118,B 1751-18,206,221,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,0,0
119,B 1751-18,253,270,NA,NA,NA,NA,Jönköpings tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
120,B 1751-18,271,281,NA,NA,NA,NA,Göta hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
121,B 1751-18,282,331,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,401,0
122,B 177-19,2,32,NA,NA,NA,NA,Helsingborgs tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
123,B 177-19,33,43,NA,NA,NA,NA,Hovrätten över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
124,B 177-19,44,80,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,203,401
125,B 177-19,81,131,"9,16,12,8,4","Eka,Herre,Johansson,Andersson,Bonthron",4,Bonthron,Högsta domstolen,final,majority,5,5,0,12,203,401
126,B 1776-17,4,24,NA,NA,NA,NA,Attunda tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
127,B 1776-17,25,43,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
128,B 1776-17,44,63,"347,27,25,8,6","Toijer,Lindeblad,Calissendorff,Andersson,Heidenborg",27,Lindeblad,Högsta domstolen,final,majority,5,5,0,14,401,402
129,B 1825-17,6,28,NA,NA,NA,NA,Örebro tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
130,B 1825-17,29,57,NA,NA,NA,NA,Göta hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
131,B 1825-17,58,72,NA,NA,NA,NA,Göta hovrätt,appelate,minority,NA,NA,NA,NA,NA,NA
132,B 1825-17,73,117,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,203,401
133,B 1825-17,118,195,"350,15,346,8,6","Lindskog,Bäcklund,Eka,Andersson,Heidenborg",15,Bäcklund,Högsta domstolen,final,majority,5,10,0,14,"401,203","203,401"
134,B 1825-17,193,213,NA,NA,NA,NA,Västmanlands tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
135,B 1825-17,214,228,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
136,B 1825-17,229,237,NA,NA,NA,NA,Svea hovrätt,appelate,minority,NA,NA,NA,NA,NA,NA
137,B 1825-17,238,332,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,401,203
138,B 184-19,2,3,NA,NA,NA,NA,Stockholms tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
140,B 184-19,12,19,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
141,B 184-19,20,69,"347,25,16,14,2","Toijer,Calissendorff,Herre,Persson,Reimer",25,Calissendorff,Högsta domstolen,final,majority,5,5,0,14,0,0
142,B 1858-18,1,44,NA,NA,NA,NA,Attunda tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
143,B 1858-18,45,62,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
144,B 1858-18,63,75,NA,NA,NA,NA,Svea hovrätt,appelate,minority,NA,NA,NA,NA,NA,NA
145,B 1858-18,76,90,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,401,"402,203"
146,B 1858-18,91,124,"347,27,16,5,4","Toijer,Lindeblad,Herre,Asp,Bonthron",4,Bonthron,Högsta domstolen,final,majority,5,5,0,32,401,"402,203"
147,B 1930-17,5,26,NA,NA,NA,NA,Södertörns tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
148,B 1930-17,27,51,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
149,B 1930-17,52,58,NA,NA,NA,NA,Svea hovrätt,appelate,minority,NA,NA,NA,NA,NA,NA
150,B 1930-17,59,87,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,12,200,404
151,B 1930-17,88,133,"16,15,9,6,5","Herre,Bäcklund,Eka,Heidenborg,Asp",5,Asp,Högsta domstolen,final,majority,5,5,0,14,404,200
152,B 2027-17,2,29,NA,NA,NA,NA,Malmö tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
153,B 2027-17,31,38,NA,NA,NA,NA,Hovrätten över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
154,B 2027-17,43,44,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,0,0,0
155,B 2027-17,45,83,"350,27,388,8,6","Lindskog,Lindeblad,Ståhl,Andersson,Heidenborg",6,Heidenborg,Högsta domstolen,final,majority,5,5,0,14,401,203
156,B 2066-17,8,33,NA,NA,NA,NA,Falu tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
157,B 2066-17,34,38,NA,NA,NA,NA,Falu tingsrätt,first,minority,NA,NA,NA,NA,NA,NA
158,B 2066-17,39,52,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
159,B 2066-17,53,57,NA,NA,NA,NA,Svea hovrätt,appelate,minority,NA,NA,NA,NA,NA,NA
160,B 2066-17,58,64,NA,NA,NA,NA,Svea hovrätt,appelate,minority,NA,NA,NA,NA,NA,NA
161,B 2066-17,65,97,NA,NA,NA,NA,Högsta domstolen,final,clerk,NA,NA,0,14,401,402
162,B 2066-17,98,138,"16,15,346,8,6","Herre,Bäcklund,Eka,Andersson,Heidenborg",6,Heidenborg,Högsta domstolen,final,majority,5,5,0,14,401,402
163,B 2228-18,1,28,NA,NA,NA,NA,Västmanlands tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
164,B 2228-18,29,49,NA,NA,NA,NA,Svea hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
165,B 2228-18,50,88,"347,16,14,10,5","Toijer,Herre,Persson,Edlund,Asp",10,Edlund,Högsta domstolen,final,majority,5,5,0,12,0,0
166,B 2441-17,1,30,NA,NA,NA,NA,Uppsala tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
167,B 2441-17,31,40,NA,NA,NA,NA,Hovrätten över Skåne och Blekinge,appelate,majority,NA,NA,NA,NA,NA,NA
168,B 2441-17,41,84,"347,14,10,7,4","Toijer,Persson,Edlund,Johansson,Bonthron",4,Bonthron,Högsta domstolen,final,majority,5,5,0,14,401,0
169,B 256-17,2,54,NA,NA,NA,NA,Södertörns tingsrätt,first,majority,NA,NA,NA,NA,NA,NA
170,B 256-17,55,63,NA,NA,NA,NA,Södertörns tingsrätt,first,minority,NA,NA,NA,NA,NA,NA
171,B 256-17,64,107,NA,NA,NA,NA,Göta hovrätt,appelate,majority,NA,NA,NA,NA,NA,NA
172,B 256-17,108,189,"27,25,8,7,5","Lindeblad,Calissendorff,Andersson,Johansson,Asp",5,Asp,Högsta domstolen,final,majority,5,5,0,14,402,401
