ooc_id,case_num,claim_id,claim_side,claim_class,claim_money,claim_other,opinion_id,outcome_money,outcome_other
19,B 1064-19,48,1,2,NA,grovt rattfylleri,1,NA,3
20,B 1064-19,48,1,2,NA,grovt rattfylleri,2,NA,3
21,B 1064-19,48,1,2,NA,grovt rattfylleri,3,NA,2
22,B 1064-19,48,1,2,NA,grovt rattfylleri,4,NA,2
23,B 1064-19,48,1,2,NA,grovt rattfylleri,5,NA,2
24,B 1064-19,48,1,2,NA,grovt rattfylleri,6,NA,3
31,B 1200-19,50,1,2,NA,våldtäkt,53,NA,3
32,B 1200-19,50,1,2,NA,våldtäkt,54,NA,3
33,B 1200-19,50,1,2,NA,våldtäkt,55,NA,3
34,B 1200-19,50,1,2,NA,våldtäkt,56,NA,2
35,B 1200-19,51,1,2,NA,våldtäkt mot barn,53,NA,2
36,B 1200-19,51,1,2,NA,våldtäkt mot barn,54,NA,2
37,B 1200-19,51,1,2,NA,våldtäkt mot barn,55,NA,3
38,B 1200-19,51,1,2,NA,våldtäkt mot barn,56,NA,0
39,B 1200-19,52,1,2,NA,sexuellt ofredande,53,NA,3
40,B 1200-19,52,1,2,NA,sexuellt ofredande,54,NA,3
41,B 1200-19,52,1,2,NA,sexuellt ofredande,55,NA,3
42,B 1200-19,52,1,2,NA,sexuellt ofredande,56,NA,0
43,B 1200-19,53,1,2,NA,sexuellt ofredande,53,NA,3
44,B 1200-19,53,1,2,NA,sexuellt ofredande,54,NA,3
45,B 1200-19,53,1,2,NA,sexuellt ofredande,55,NA,3
46,B 1200-19,53,1,2,NA,sexuellt ofredande,56,NA,0
47,B 1727-17,54,1,2,NA,tjänstefel,65,NA,1
48,B 1727-17,54,1,2,NA,tjänstefel,66,NA,3
49,B 1727-17,54,1,2,NA,tjänstefel,67,NA,1
50,B 1384-17,55,1,2,NA,bokföringsbrott,68,NA,0
51,B 1384-17,55,1,2,NA,bokföringsbrott,69,NA,0
52,B 1384-17,55,1,2,NA,bokföringsbrott,70,NA,0
53,B 1384-17,55,1,2,NA,bokföringsbrott,71,NA,0
54,B 1384-17,55,1,2,NA,bokföringsbrott,72,NA,0
55,B 1384-17,55,1,2,NA,bokföringsbrott,73,NA,0
56,B 1384-17,55,1,2,NA,bokföringsbrott,74,NA,0
57,B 1384-17,55,1,2,NA,bokföringsbrott,75,NA,0
58,B 1384-17,55,1,2,NA,bokföringsbrott,76,NA,0
59,B 1384-17,55,1,2,NA,bokföringsbrott,77,NA,0
60,B 1384-17,55,1,2,NA,bokföringsbrott,78,NA,0
61,B 1384-17,56,1,2,NA,bokföringsbrott,68,NA,0
62,B 1384-17,56,1,2,NA,bokföringsbrott,69,NA,0
63,B 1384-17,56,1,2,NA,bokföringsbrott,70,NA,0
64,B 1384-17,56,1,2,NA,bokföringsbrott,71,NA,0
